id,name_id,full_name,first_name,last_name,team,position,age,experience,college,injury_status,weight,height,jersey_number,active,updated_at,created_at
5,lamarjacksonqb,Lamar Jackson,Lamar,Jackson,BAL,QB,24,3,Louisville,,212,"6'2""",8,true,2021-12-05 22:50:31.811757 +00:00,2021-12-05 22:23:32.028955 +00:00
6,justinherbertqb,Justin Herbert,Justin,Herbert,LAC,QB,23,1,Oregon,,237,"6'6""",10,true,2021-12-05 22:50:31.812428 +00:00,2021-12-05 22:23:32.029764 +00:00
7,justinjeffersonwr,Justin Jefferson,Justin,Jefferson,MIN,WR,22,1,LSU,,195,"6'1""",18,true,2021-12-05 22:50:31.813048 +00:00,2021-12-05 22:23:32.030573 +00:00
8,jamarrchasewr,Ja'Marr Chase,Ja'Marr,Chase,CIN,WR,21,0,LSU,,200,"6'1""",1,true,2021-12-05 22:50:31.813715 +00:00,2021-12-05 22:23:32.031352 +00:00
9,ceedeelambwr,CeeDee Lamb,CeeDee,Lamb,DAL,WR,22,1,Oklahoma,,189,"6'2""",88,true,2021-12-05 22:50:31.814324 +00:00,2021-12-05 22:23:32.032123 +00:00
10,najeeharrisrb,Najee Harris,Najee,Harris,PIT,RB,23,0,Alabama,,232,"6'1""",22,true,2021-12-05 22:50:31.815175 +00:00,2021-12-05 22:23:32.044439 +00:00
11,dandreswiftrb,D'Andre Swift,D'Andre,Swift,DET,RB,22,1,Georgia,Out,211,"5'9""",32,true,2021-12-05 22:50:31.815960 +00:00,2021-12-05 22:23:32.045312 +00:00
12,joeburrowqb,Joe Burrow,Joe,Burrow,CIN,QB,24,1,LSU,Questionable,221,"6'4""",9,true,2021-12-05 22:50:31.816687 +00:00,2021-12-05 22:23:32.045989 +00:00
13,dakprescottqb,Dak Prescott,Dak,Prescott,DAL,QB,28,5,Mississippi State,,238,"6'2""",4,true,2021-12-05 22:50:31.817310 +00:00,2021-12-05 22:23:32.046540 +00:00
14,tyreekhillwr,Tyreek Hill,Tyreek,Hill,KCC,WR,27,5,West Alabama,,185,"5'10""",10,true,2021-12-05 22:50:31.818234 +00:00,2021-12-05 22:23:32.047038 +00:00
15,kylepittste,Kyle Pitts,Kyle,Pitts,ATL,TE,21,0,Florida,,246,"6'6""",8,true,2021-12-05 22:50:31.818866 +00:00,2021-12-05 22:23:32.060141 +00:00
16,javontewilliamsrb,Javonte Williams,Javonte,Williams,DEN,RB,21,0,North Carolina,,220,"5'10""",33,true,2021-12-05 22:50:31.819489 +00:00,2021-12-05 22:23:32.061900 +00:00
17,joemixonrb,Joe Mixon,Joe,Mixon,CIN,RB,25,4,Oklahoma,Questionable,220,"6'1""",28,true,2021-12-05 22:50:31.820108 +00:00,2021-12-05 22:23:32.063415 +00:00
18,trevorlawrenceqb,Trevor Lawrence,Trevor,Lawrence,JAC,QB,22,0,Clemson,,213,"6'6""",16,true,2021-12-05 22:50:31.820728 +00:00,2021-12-05 22:23:32.064889 +00:00
19,dkmetcalfwr,DK Metcalf,DK,Metcalf,SEA,WR,23,2,Mississippi,,235,"6'4""",14,true,2021-12-05 22:50:31.821365 +00:00,2021-12-05 22:23:32.066330 +00:00
20,ajbrownwr,A.J. Brown,A.J.,Brown,TEN,WR,24,2,Ole Miss,IR,226,"6'1""",11,true,2021-12-05 22:50:31.821998 +00:00,2021-12-05 22:23:32.076451 +00:00
21,austinekelerrb,Austin Ekeler,Austin,Ekeler,LAC,RB,26,4,"Western State, Colo.",,200,"5'10""",30,true,2021-12-05 22:50:31.822628 +00:00,2021-12-05 22:23:32.078127 +00:00
22,christianmccaffreyrb,Christian McCaffrey,Christian,McCaffrey,CAR,RB,25,4,Stanford,IR,205,"5'11""",22,true,2021-12-05 22:50:31.823300 +00:00,2021-12-05 22:23:32.079563 +00:00
23,cooperkuppwr,Cooper Kupp,Cooper,Kupp,LAR,WR,28,4,Eastern Washington,,208,"6'2""",10,true,2021-12-05 22:50:31.823913 +00:00,2021-12-05 22:23:32.081051 +00:00
24,jaylenwaddlewr,Jaylen Waddle,Jaylen,Waddle,MIA,WR,23,0,Alabama,,182,"5'10""",17,true,2021-12-05 22:50:31.824645 +00:00,2021-12-05 22:23:32.082561 +00:00
25,nickchubbrb,Nick Chubb,Nick,Chubb,CLE,RB,25,3,Georgia,,227,"5'11""",24,true,2021-12-05 22:50:31.825404 +00:00,2021-12-05 22:23:32.092303 +00:00
26,alvinkamararb,Alvin Kamara,Alvin,Kamara,NOS,RB,26,4,Tennessee,Out,215,"5'10""",41,true,2021-12-05 22:50:31.826048 +00:00,2021-12-05 22:23:32.094065 +00:00
27,davanteadamswr,Davante Adams,Davante,Adams,GBP,WR,28,7,Fresno State,,215,"6'1""",17,true,2021-12-05 22:50:31.826666 +00:00,2021-12-05 22:23:32.095610 +00:00
28,deebosamuelwr,Deebo Samuel,Deebo,Samuel,SFO,WR,25,2,South Carolina,Out,215,"6'0""",19,true,2021-12-05 22:50:31.827282 +00:00,2021-12-05 22:23:32.097025 +00:00
30,2023early1stpi,2023 Early 1st,2023,Early 1st,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.828314 +00:00,2021-12-05 22:23:32.107638 +00:00
32,dalvincookrb,Dalvin Cook,Dalvin,Cook,MIN,RB,26,4,Florida State,Out,210,"5'10""",33,true,2021-12-05 22:50:31.830150 +00:00,2021-12-05 22:23:32.110155 +00:00
29,stefondiggswr,Stefon Diggs,Stefon,Diggs,BUF,WR,28,6,Maryland,,191,"6'0""",14,true,2021-12-05 22:50:31.828912 +00:00,2021-12-05 22:23:32.098593 +00:00
33,saquonbarkleyrb,Saquon Barkley,Saquon,Barkley,NYG,RB,24,3,Penn State,,233,"5'11""",26,true,2021-12-05 22:50:31.830751 +00:00,2021-12-05 22:23:32.110630 +00:00
34,derrickhenryrb,Derrick Henry,Derrick,Henry,TEN,RB,27,5,Alabama,IR,247,"6'3""",22,true,2021-12-05 22:50:31.831498 +00:00,2021-12-05 22:23:32.111102 +00:00
35,terrymclaurinwr,Terry McLaurin,Terry,McLaurin,WAS,WR,26,2,Ohio State,,210,"6'0""",17,true,2021-12-05 22:50:31.832122 +00:00,2021-12-05 22:23:32.123061 +00:00
36,macjonesqb,Mac Jones,Mac,Jones,NEP,QB,23,0,Alabama,,217,"6'3""",10,true,2021-12-05 22:50:31.832742 +00:00,2021-12-05 22:23:32.125056 +00:00
37,treylanceqb,Trey Lance,Trey,Lance,SFO,QB,21,0,North Dakota State,,224,"6'4""",5,true,2021-12-05 22:50:31.833359 +00:00,2021-12-05 22:23:32.126744 +00:00
39,justinfieldsqb,Justin Fields,Justin,Fields,CHI,QB,22,0,Ohio State,Out,228,"6'3""",1,true,2021-12-05 22:50:31.833977 +00:00,2021-12-05 22:23:32.130032 +00:00
38,chrisgodwinwr,Chris Godwin,Chris,Godwin,TBB,WR,25,4,Penn State,,208,"6'1""",14,true,2021-12-05 22:50:31.834595 +00:00,2021-12-05 22:23:32.128368 +00:00
41,diontaejohnsonwr,Diontae Johnson,Diontae,Johnson,PIT,WR,25,2,Toledo,,183,"5'10""",18,true,2021-12-05 22:50:31.835842 +00:00,2021-12-05 22:23:32.140461 +00:00
40,2022early1stpi,2022 Early 1st,2022,Early 1st,FA,PI,,0,,,,,0,,2021-12-05 22:50:31.835218 +00:00,2021-12-05 22:23:32.138496 +00:00
